"","1000","1001","1002","1003","1004","1005","1006","1007","1008","1009","1010","1011","1012","1013","1014","1015","1016","1017","1018","1019","1020","1021","1022","1023","1024","1025","1026","1027","1028","1029","1030","1031","1032","1033","1034","1035","1036","1037","1038","1039","1040","1041","1042","1043","1044","1045","1046","1047","1048","1049"
"1000",827,134,38,16,9,24,21,11,13,19,107,10,80,88,25,47,89,84,28,18,37,15,5,2,5,6,40,2,0,3,0,1,2,11,6,11,0,1,3,17,8,2,11,4,17,51,11,45,9,64
"1001",76,725,26,33,51,17,23,82,22,75,94,26,61,118,22,91,84,115,112,53,8,24,15,2,4,38,2,1,2,1,1,3,7,4,2,2,0,0,5,6,1,4,4,8,20,45,25,41,54,74
"1002",22,5,195,13,8,3,10,6,6,4,4,4,13,16,16,9,10,17,5,25,8,40,2,0,2,1,0,0,0,0,0,2,18,3,0,0,0,0,0,3,4,0,0,6,8,22,30,15,18,22
"1003",13,27,12,142,43,9,0,2,2,9,24,0,14,13,3,3,7,13,6,11,0,26,0,0,0,0,0,0,1,2,0,0,5,1,1,0,0,0,1,4,3,0,2,1,18,36,30,9,12,49
"1004",19,14,15,18,398,34,20,6,16,0,17,5,8,10,15,0,3,16,5,5,0,5,1,0,0,1,0,0,0,0,0,0,3,4,4,5,0,1,24,2,2,18,0,2,3,48,11,0,12,59
"1005",12,10,7,9,19,185,10,25,14,5,13,9,9,20,9,20,25,30,18,40,2,9,7,0,0,2,0,0,0,1,0,0,3,1,1,1,0,0,8,2,4,3,1,3,5,20,30,13,6,53
"1006",14,21,8,7,10,8,163,30,45,9,8,8,12,22,46,36,33,56,18,5,6,2,0,1,6,1,1,0,0,0,0,0,20,2,0,3,0,1,13,3,3,9,13,2,1,7,13,6,13,32
"1007",20,65,16,7,6,21,11,130,3,5,7,1,9,7,0,3,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,38,0,3,2,14,6,10,69,59
"1008",17,12,0,0,5,2,23,1,49,6,5,2,8,4,1,4,1,3,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,9,0,1,0,0,0,2,2
"1009",19,85,2,6,2,9,7,3,5,327,27,9,7,30,1,14,12,33,10,19,7,6,8,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,0,0,1,5,2,6,4
"1010",82,85,12,16,21,21,29,4,7,27,588,44,51,72,17,60,130,275,94,41,22,50,17,10,4,6,1,0,2,1,1,3,16,5,3,0,0,0,1,0,5,3,1,2,8,14,12,11,27,18
"1011",11,34,6,3,7,6,7,2,13,21,40,428,28,43,20,38,37,56,37,42,2,10,3,9,3,3,0,1,3,3,0,1,1,7,5,0,0,0,3,2,1,0,0,3,2,32,4,4,22,7
"1012",93,92,14,6,13,16,21,8,8,17,56,29,810,83,39,30,25,53,15,27,11,5,1,0,0,0,0,2,6,1,0,2,3,4,1,1,0,4,4,4,0,9,0,4,0,30,20,15,26,36
"1013",122,130,15,14,7,18,32,2,10,50,77,50,59,476,22,50,53,107,46,81,3,10,6,1,0,2,2,3,3,0,0,2,0,3,4,2,0,0,0,5,2,4,0,2,4,15,12,20,5,29
"1014",20,19,13,2,3,10,45,2,0,5,23,22,35,27,236,35,9,20,1,9,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,14
"1015",24,54,14,19,2,29,30,2,8,18,65,66,16,48,41,392,20,18,4,8,3,4,1,3,5,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,2,1,0,0,1,8,2,1,2,4
