Corrected_Names
10th St & Penn Ave (David L. Lawrence Convention Center)
12th St & Penn Ave
17th St & Penn Ave
21st St & Penn Ave
37th St & Butler St
42nd St & Butler St
42nd St & Penn Ave (Children's Hospital)
Alder St & S Highland Ave
Atwood St & Bates St
Bigelow Blvd & 5th Ave
Boulevard of the Allies & Parkview Ave
Centre Ave & Consol Energy Center
Centre Ave & Kirkpatrick St
Coltart Ave & Forbes Ave
Ellsworth Ave & N Neville St
Federal St & E North Ave
Fifth Ave & S Bouquet St
Fifth Ave & S Dithridge St
First Ave & B St (T Station)
First Ave & Smithfield St (Art Institute)
Forbes Ave & Grant St
Forbes Ave & Market Square
Fort Duquesne Blvd & 7th St
Frew St. & Schenley Dr.
Healthy Ride Hub
Isabella St & Federal St (PNC Park)
Ivy St & Walnut St
Liberty Ave & Baum Blvd
Liberty Ave & S Milvalle Ave --West Penn Hospital 
Liberty Ave & Stanwix St.
Maryland Ave & Ellsworth Ave
Maryland Ave & Walnut St
North Shore Trail & Fort Duquesne Bridge
Penn Ave & N Fairmount St
Penn Ave & Putnam St -- Bakery Square
Ridge Ave & Brighton Rd (CCAC)
Ross St & Sixth Ave (Steel Plaza T Station)
S 12th St & E Carson St
S 18th St & Sidney St
S 22nd St & E Carson St
S 25th St & E Carson St
S 27th St & Tunnel Blvd (Southside Works)
S Euclid Ave & Centre Ave
S Negley Ave & Baum Blvd
S Whitfield St & Baum Blvd
Schenley Dr at Schenley Plaza (Carnegie Library
Shady Ave and Ellsworth Ave
Stevenson St & Forbes Ave
Taylor St & Liberty Ave
Third Ave & Wood St
Transit
Zulema St & Coltart Ave
